t;p
0,025299999999999902;51265,74152275202
0,025399999999999902;51383,363262015766
0,0254999999999999;51500,42759105656
0,0255999999999999;51616,93549473945
0,0256999999999999;51732,88795802926
0,0257999999999999;51848,285966021576
0,0258999999999999;51963,13050397355
0,025999999999999898;52077,422557334576
0,026099999999999898;52191,16311177672
0,026199999999999897;52304,35315322508
0,026299999999999896;52416,99366788795
0,026399999999999896;52529,08564228683
0,026499999999999895;52640,63006328629
0,026599999999999895;52751,62791812371
0,026699999999999894;52862,080194438844
0,026799999999999893;52971,98788030329
0,026899999999999893;53081,3519642498
0,026999999999999892;53190,173435301454
0,02709999999999989;53298,453283000745
0,02719999999999989;53406,19249743848
0,02729999999999989;53513,39206928264
0,02739999999999989;53620,05298980705
0,02749999999999989;53726,17625091996
0,02759999999999989;53831,76284519255
0,027699999999999888;53936,81376588727
0,027799999999999887;54041,33000698613
0,027899999999999887;54145,31256321882
0,027999999999999886;54248,76243009081
0,028099999999999885;54351,680603911285
0,028199999999999885;54454,06808182103
0,028299999999999884;54555,9258618202
0,028399999999999884;54657,25494279599
0,028499999999999883;54758,05632455026
0,028599999999999882;54858,331007827044
0,028699999999999882;54958,07999433995
0,02879999999999988;55057,30428679954
0,02889999999999988;55156,004888940595
0,02899999999999988;55254,182805549295
0,02909999999999988;55351,83904249034
0,02919999999999988;55448,97460673402
0,029299999999999878;55545,590506383145
0,029399999999999878;55641,687750699995
0,029499999999999877;55737,267350133116
0,029599999999999876;55832,33031634412
0,029699999999999876;55926,87766223439
0,029799999999999875;56020,91040197168
0,029899999999999875;56114,42955101677
0,029999999999999874;56207,43612614993
0,030099999999999873;56299,9311454974
0,030199999999999873;56391,91562855781
0,030299999999999872;56483,390596228484
0,03039999999999987;56574,3570708318
0,03049999999999987;56664,81607614138
0,03059999999999987;56754,7686374083
0,03069999999999987;56844,2157813872
0,03079999999999987;56933,15853636241
0,03089999999999987;57021,59793217394
0,030999999999999868;57109,5350002435
0,031099999999999867;57196,97077360041
0,031199999999999867;57283,90628690752
0,03129999999999987;57370,342576487004
0,03139999999999987;57456,2806803462
0,031499999999999875;57541,721638203344
0,03159999999999988;57626,66649151325
0,03169999999999988;57711,11628349301
0,031799999999999884;57795,07205914756
0,03189999999999989;57878,534865295296
0,03199999999999989;57961,505750593555
0,03209999999999989;58043,98576556412
0,032199999999999895;58125,97596261864
0,0322999999999999;58207,47739608404
0,0323999999999999;58288,49112222783
0,032499999999999904;58369,01819928346
0,03259999999999991;58449,05968747553
0,03269999999999991;58528,61664904501
0,03279999999999991;58607,69014827444
0,032899999999999915;58686,28125151302
0,03299999999999992;58764,39102720167
0,03309999999999992;58842,020545898115
0,033199999999999924;58919,170880301805
0,03329999999999993;58995,84310527889
0,03339999999999993;59072,03829788708
